// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Messung::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Messung,  new 1,  30-40,  -239997.710000,  630021.160000,  9988.960000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  32-02,  -202471.850000,  632721.660000,  9988.670000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  32-40,  -240000.290000,  632217.860000,  9995.220000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  35-01,  -200701.650000,  635206.220000,  9994.360000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  35-24,  -223862.130000,  635658.690000,  9994.750000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  35-30,  -229993.630000,  635017.210000,  9990.010000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  35-35,  -234991.910000,  635021.720000,  9989.400000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  35-40,  -239990.960000,  635021.060000,  9989.690000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  36-20,  -219750.860000,  636699.940000,  9997.060000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  37-13,  -212647.750000,  638582.030000,  9994.530000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  38-02,  -202117.500000,  637618.490000,  9997.240000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  38-05,  -204585.680000,  638105.100000,  9991.790000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  38-15,  -215467.840000,  639628.880000,  9994.540000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-10,  -209996.280000,  640017.610000,  9988.260000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-20,  -219994.520000,  640023.720000,  9987.970000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-27,  -226946.820000,  639512.020000,  9991.330000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-30,  -229993.030000,  640015.330000,  9988.690000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-40,  -239990.790000,  640039.860000,  -1509.900000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  40-45,  -244988.800000,  640024.330000,  -1510.600000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  41-01,  -201238.710000,  640630.380000,  9994.090000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  41-03,  -202600.190000,  641263.890000,  9993.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  41-38,  -237832.310000,  641455.120000,  -1505.800000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  42-09,  -208960.900000,  642329.920000,  9992.850000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  42-22,  -221921.570000,  641795.550000,  9992.720000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  43-11,  -211408.230000,  642959.000000,  9990.960000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  43-33,  -232793.450000,  642752.240000,  9995.590000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  44-06,  -206464.840000,  644253.770000,  9993.660000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  44-14,  -214408.260000,  644447.970000,  9992.060000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  45-10,  -210070.520000,  644748.760000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  46-08,  -207963.560000,  646016.370000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  46-12,  -212307.820000,  645792.790000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  46-18,  -218238.590000,  646050.550000,  9992.360000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  47-10,  -209764.190000,  646826.330000,  9991.450000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  47-17,  -216678.860000,  646634.020000,  9992.750000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  47-35,  -235372.830000,  646566.300000,  -1509.330000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  48-12,  -212406.760000,  648068.630000,  9993.460000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  48-15,  -215651.920000,  648080.490000,  9991.730000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  48-48,  -248236.360000,  648445.380000,  -1505.410000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  49-14,  -214167.930000,  648844.110000,  9993.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-10,  -210002.030000,  650017.780000,  9989.520000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-20,  -219997.340000,  650010.750000,  9986.730000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-21,  -220741.440000,  649727.480000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-22,  -222122.000000,  650216.000000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-24,  -223702.210000,  649735.060000,  9990.690000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-30,  -229997.160000,  650012.700000,  9988.610000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-40,  -239995.290000,  650011.380000,  9987.650000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  50-42,  -242246.280000,  649814.540000,  -1507.200000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  51-27,  -226710.050000,  651131.560000,  9992.180000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  51-28,  -227450.510000,  650965.670000,  9989.870000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  52-01,  -200704.890000,  651822.940000,  9997.990000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  52-09,  -208757.830000,  652142.510000,  9994.960000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  52-48,  -248234.280000,  652187.790000,  9991.480000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  53-21,  -220811.740000,  653194.230000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  53-31,  -231162.950000,  652680.850000,  9991.750000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  53-33,  -232790.650000,  653222.210000,  9992.980000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  54-07,  -207211.010000,  653846.340000,  9995.830000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  54-10,  -209711.770000,  653851.070000,  9994.540000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  54-22,  -221663.830000,  653667.090000,  9989.510000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  54-25,  -225737.770000,  653706.020000,  9990.540000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  55-11,  -210668.780000,  655447.120000,  9992.430000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  56-09,  -209268.830000,  656141.530000,  9993.690000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  56-30,  -229663.710000,  655543.540000,  9993.610000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  56-35,  -235127.330000,  655963.070000,  9995.840000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  57-06,  -205613.330000,  657032.380000,  9993.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  57-14,  -214697.370000,  657134.670000,  9992.320000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  57-32,  -232144.470000,  657069.680000,  9991.100000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  57-37,  -237177.180000,  657390.470000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  58-23,  -223458.520000,  657955.750000,  9992.570000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  60-10,  -210000.020000,  660011.390000,  9988.840000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  60-20,  -219998.390000,  660007.250000,  9989.510000,  0.000000,  0.000000,  00:00:00,  ,  
