// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem '20230914::WORLD*'
// 68.26% Vertrauensbereich (1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

20230914,  Panel6_aufn,  PA6_17_M1,  719.763269,  -498.595290,  -243.798361,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011627,  0.009145,  0.009170,  0.017404,  ,  ,  ,  09/14/23 11:08:04,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003474 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000135 mm, h = 0.000096, v = 0.000059 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_9,  611.050311,  -483.653254,  -47.559764,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011988,  0.009820,  0.010069,  0.018480,  ,  ,  ,  09/14/23 11:08:10,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.003955 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000463 mm, h = 0.000094, v = 0.000068 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_10,  247.250602,  -483.095675,  583.247885,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013581,  0.012579,  0.012979,  0.022608,  ,  ,  ,  09/14/23 11:08:18,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.004638 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000183 mm, h = 0.000067, v = 0.000079 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_15,  174.690143,  -509.952025,  765.725757,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014069,  0.013360,  0.013704,  0.023753,  ,  ,  ,  09/14/23 11:08:23,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.008164 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001105 mm, h = 0.000148, v = 0.000086 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_11,  209.403314,  -463.253025,  654.291357,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013778,  0.012883,  0.013270,  0.023063,  ,  ,  ,  09/14/23 11:08:28,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006218 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000168 mm, h = 0.000086, v = 0.000105 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_12,  209.275533,  -374.849024,  654.964579,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013741,  0.012796,  0.013215,  0.022960,  ,  ,  ,  09/14/23 11:08:32,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.009195 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.002696 mm, h = 0.000136, v = 0.000137 deg. Level Compensation OFF
20230914,  Panel6_aufn,  PA6_13,  209.692255,  33.010939,  654.264056,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.013659,  0.012598,  0.013091,  0.022730,  ,  ,  ,  09/14/23 11:08:37,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.005462 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.004111 mm, h = 0.000063, v = 0.000048 deg. Level Compensation OFF
20230914,  Panel6_aufn,  M2,  747.884035,  -664.791892,  -232.941415,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.011553,  0.009512,  0.009326,  0.017633,  ,  ,  ,  09/14/23 11:08:54,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.002808 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000153 mm, h = 0.000051, v = 0.000073 deg. Level Compensation OFF
20230914,  Panel6_aufn,  M4,  180.259490,  -595.724503,  776.465756,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014121,  0.013470,  0.013784,  0.023893,  ,  ,  ,  09/14/23 11:09:01,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006944 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000227 mm, h = 0.000094, v = 0.000110 deg. Level Compensation OFF
20230914,  Panel6_aufn,  M3,  485.452716,  -674.071147,  213.633250,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012582,  0.011160,  0.011417,  0.020327,  ,  ,  ,  09/14/23 11:09:13,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.004352 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000139 mm, h = 0.000062, v = 0.000094 deg. Level Compensation OFF
